Year,Country,Measure,Age,Value
2019,Austria,PVT6A,TOT,0.151
2007,Austria,P90P10,TOT,3.6
2008,Austria,P90P10,TOT,3.4
2009,Austria,P90P10,TOT,3.6
2010,Austria,P90P10,TOT,3.5
2011,Austria,P90P10,TOT,3.5
2012,Austria,P90P10,TOT,3.5
2013,Austria,P90P10,TOT,3.4
2014,Austria,P90P10,TOT,3.4
2015,Austria,P90P10,TOT,3.3
2016,Austria,P90P10,TOT,3.5
2017,Austria,P90P10,TOT,3.5
2018,Austria,P90P10,TOT,3.5
2019,Austria,P90P10,TOT,3.6
2007,Austria,P90P50,TOT,1.8
2008,Austria,P90P50,TOT,1.8
2009,Austria,P90P50,TOT,1.8
2010,Austria,P90P50,TOT,1.8
2011,Austria,P90P50,TOT,1.8
2012,Austria,P90P50,TOT,1.8
2013,Austria,P90P50,TOT,1.8
2014,Austria,P90P50,TOT,1.7
2015,Austria,P90P50,TOT,1.7
2016,Austria,P90P50,TOT,1.8
2017,Austria,P90P50,TOT,1.8
2018,Austria,P90P50,TOT,1.8
2019,Austria,P90P50,TOT,1.8
2007,Austria,P50P10,TOT,2.00
2008,Austria,P50P10,TOT,1.9
2009,Austria,P50P10,TOT,2.00
2010,Austria,P50P10,TOT,1.9
2011,Austria,P50P10,TOT,1.9
2012,Austria,P50P10,TOT,2.00
2013,Austria,P50P10,TOT,1.9
2014,Austria,P50P10,TOT,1.9
2015,Austria,P50P10,TOT,1.9
2016,Austria,P50P10,TOT,2.00
2017,Austria,P50P10,TOT,1.9
2018,Austria,P50P10,TOT,2.00
2019,Austria,P50P10,TOT,2.00
2007,Austria,S80S20,TOT,4.4
2008,Austria,S80S20,TOT,4.3
2009,Austria,S80S20,TOT,4.5
2010,Austria,S80S20,TOT,4.3
2011,Austria,S80S20,TOT,4.3
2012,Austria,S80S20,TOT,4.3
2013,Austria,S80S20,TOT,4.2
2014,Austria,S80S20,TOT,4.1
2015,Austria,S80S20,TOT,4.2
2016,Austria,S80S20,TOT,4.5
2017,Austria,S80S20,TOT,4.2
2018,Austria,S80S20,TOT,4.3
2019,Austria,S80S20,TOT,4.2
2007,Austria,IND,TOT,8241523.00
2008,Austria,IND,TOT,8262101.00
2009,Austria,IND,TOT,8283237.00
2010,Austria,IND,TOT,8315881.00
2011,Austria,IND,TOT,8344294.00
2012,Austria,IND,TOT,8368625.00
2013,Austria,IND,TOT,8403374.00
2014,Austria,IND,TOT,8476451.00
2015,Austria,IND,TOT,8590169.00
2016,Austria,IND,TOT,8640974.00
2017,Austria,IND,TOT,8652285.00
2018,Austria,IND,TOT,8706396.00
2019,Austria,IND,TOT,8757572.00
2007,Austria,SHA1,TOT,0.194
2008,Austria,SHA1,TOT,0.195
2009,Austria,SHA1,TOT,0.183
2010,Austria,SHA1,TOT,0.184
2011,Austria,SHA1,TOT,0.186
2012,Austria,SHA1,TOT,0.184
2013,Austria,SHA1,TOT,0.18
2014,Austria,SHA1,TOT,0.177
2015,Austria,SHA1,TOT,0.181
2016,Austria,SHA1,TOT,0.18
